#      z (A) rho (1e-6/A2) irho (1e-6/A2) rhoM (1e-6/A2) theta (degrees)
-10.00000000   2.07000000   0.00000000   0.00000000 270.00000000
  0.00000000   2.07000000   0.00000000   0.00000000 270.00000000
  0.00000000   3.49000000   0.00000000  -0.00000000 270.00000000
252.00000000   3.49000000   0.00000000  -0.00000000 270.00000000
252.00000000   6.68000000   0.00000000  -0.00000000 270.00000000
334.60000000   6.68000000   0.00000000  -0.00000000 270.00000000
334.60000000   5.71000000   0.00000000   0.38079179 270.00000000
694.48724378   5.71000000   0.00000000   0.38079179 270.00000000
694.48724378   5.71000000   0.00000000  -0.00000000 270.00000000
694.50000000   5.71000000   0.00000000  -0.00000000 270.00000000
694.50000000   2.19000000   0.01200000  -0.00000000 270.00000000
695.63071930   2.19000000   0.01200000  -0.00000000 270.00000000
695.63071930   2.19000000   0.01200000   4.18296114 270.00000000
860.80923400   2.19000000   0.01200000   4.18296114 270.00000000
860.80923400   2.19000000   0.01200000  -0.00000000 270.00000000
881.50000000   2.19000000   0.01200000  -0.00000000 270.00000000
881.50000000   3.86000000   0.00000000  -0.00000000 270.00000000
929.40000000   3.86000000   0.00000000  -0.00000000 270.00000000
929.40000000   0.00000000   0.00000000   0.00000000 270.00000000
939.40000000   0.00000000   0.00000000   0.00000000 270.00000000
