#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0     105.430295940345                 2.07                    0                    0                  180
                 252     7.65540408970858                 3.49                    0                   -0                  180
                82.6     1.00159654376574                 6.68                    0                   -0                  180
    359.883208460034      6.0071632662513                 5.71                    0   -0.499973788009497                  180
  0.0167915399656522      6.0071632662513                 5.71                    0                   -0                  180
    10.0189284393814      6.0071632662513                 2.19                0.012                   -0                  180
    156.290305562869     9.42014947032174                 2.19                0.012     4.05000122275246                  180
    20.6907659977495     9.42014947032174                 2.19                0.012                   -0                  180
                47.9     1.00042499399521                 3.86                    0                   -0                  180
                   0                    0                    0                    0                    0                  180
