#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0     105.430295940345                 2.07                    0                    0                  270
                 252     7.65540408970858                 3.49                    0                   -0                  270
                82.6     1.00159654376574                 6.68                    0                   -0                  270
    309.901286282098      6.0071632662513                 5.71                    0    0.181939448769671                  270
    49.9987137179022      6.0071632662513                 5.71                    0                   -0                  270
0.000268649367853868      6.0071632662513                 2.19                0.012                   -0                  270
    166.308965352883     9.42014947032174                 2.19                0.012     4.08575057418466                  270
    20.6907659977495     9.42014947032174                 2.19                0.012                   -0                  270
                47.9     1.00042499399521                 3.86                    0                   -0                  270
                   0                    0                    0                    0                    0                  270
